speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
brdowl,Barred Owl,Strix varia,L38420029,"824 Mechanic Street, Grafton, Ohio, US (41.266, -82.057)",2024-12-03 18:00,1.0,41.2656998,-82.0566713,True,False,True,S204409907,
sancra,Sandhill Crane,Antigone canadensis,L12252051,"Ohio Northern University, Ada US-OH 40.76892, -83.82858",2024-12-03 17:35,36.0,40.768916,-83.828576,True,False,True,S204408171,
sheowl,Short-eared Owl,Asio flammeus,L16536626,SR-739 Wetlands (Road viewing),2024-12-03 17:32,1.0,40.318116,-83.496497,True,False,True,S204407975,
whtspa,White-throated Sparrow,Zonotrichia albicollis,L20258802,East Liberty Recycling Center,2024-12-03 17:18,1.0,40.330223,-83.574783,True,False,True,S204406974,
amerob,American Robin,Turdus migratorius,L20258802,East Liberty Recycling Center,2024-12-03 17:18,3.0,40.330223,-83.574783,True,False,True,S204406974,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L20258802,East Liberty Recycling Center,2024-12-03 17:18,1.0,40.330223,-83.574783,True,False,True,S204406974,
bnhcow,Brown-headed Cowbird,Molothrus ater,L4974367,Blackberry Lane,2024-12-03 17:15,,39.2985764,-83.8391215,True,False,True,S204406931,
snoowl1,Snowy Owl,Bubo scandiacus,L38419541,"2036 Robinwood Ave, Toledo US-OH 41.66126, -83.56050",2024-12-03 17:14,1.0,41.661263,-83.560502,True,False,True,S204407135,
killde,Killdeer,Charadrius vociferus,L288299,Prairie Lane Wetlands (historical),2024-12-03 17:12,1.0,40.7445511,-81.9436413,True,False,True,S204411847,
grbher3,Great Blue Heron,Ardea herodias,L28558026,Fat Dusty Beach (private residence),2024-12-03 17:08,1.0,41.4488492,-82.2243545,True,False,True,S204408247,
snogoo,Snow Goose,Anser caerulescens,L38419802,Baumhart Road between 113 and 80,2024-12-03 17:00,2.0,41.3557944,-82.2769751,True,False,True,S204408575,
cangoo,Canada Goose,Branta canadensis,L38419802,Baumhart Road between 113 and 80,2024-12-03 17:00,35.0,41.3557944,-82.2769751,True,False,True,S204408575,
merlin,Merlin,Falco columbarius,L15397451,Cascade Valley Metro Park--Valley View Area,2024-12-03 17:00,1.0,41.1218625,-81.5285326,True,False,False,S204409437,
grhowl,Great Horned Owl,Bubo virginianus,L15397451,Cascade Valley Metro Park--Valley View Area,2024-12-03 17:00,1.0,41.1218625,-81.5285326,True,False,False,S204409437,
sonspa,Song Sparrow,Melospiza melodia,L15397451,Cascade Valley Metro Park--Valley View Area,2024-12-03 17:00,4.0,41.1218625,-81.5285326,True,False,False,S204409437,
pibgre,Pied-billed Grebe,Podilymbus podiceps,L3102543,Lake Buckhorn (restricted access),2024-12-03 16:58,1.0,40.4685983,-81.9078125,True,False,False,S204407661,
mallar3,Mallard,Anas platyrhynchos,L3102543,Lake Buckhorn (restricted access),2024-12-03 16:58,2.0,40.4685983,-81.9078125,True,False,False,S204407661,
horgre,Horned Grebe,Podiceps auritus,L14456310,Hueston Woods SP--Sugar Camp Area and Fishing Pier,2024-12-03 16:57,1.0,39.5707659,-84.7519409,True,False,False,S204405987,
gadwal,Gadwall,Mareca strepera,L14456310,Hueston Woods SP--Sugar Camp Area and Fishing Pier,2024-12-03 16:57,12.0,39.5707659,-84.7519409,True,False,False,S204405987,
